,sec,Mean
0,0.12987012987012986,9.845
1,0.2597402597402597,9.824
2,0.38961038961038963,9.6982
3,0.5194805194805194,9.8816
4,0.6493506493506493,9.8396
5,0.7792207792207793,9.8598
6,0.9090909090909091,9.7072
7,1.0389610389610389,9.8174
8,1.1688311688311688,9.9537
9,1.2987012987012987,9.2683
10,1.4285714285714286,9.7041
11,1.5584415584415585,9.595
12,1.6883116883116882,9.9225
13,1.8181818181818181,9.5615
14,1.948051948051948,9.727
15,2.0779220779220777,10.1234
16,2.207792207792208,9.861
17,2.3376623376623376,9.8516
18,2.4675324675324677,9.4907
19,2.5974025974025974,9.3458
20,2.727272727272727,9.8906
21,2.857142857142857,9.567
22,2.987012987012987,9.2142
23,3.116883116883117,9.4334
24,3.2467532467532467,9.5713
25,3.3766233766233764,9.4903
26,3.5064935064935066,9.5491
27,3.6363636363636362,9.8532
28,3.766233766233766,9.0487
29,3.896103896103896,9.5495
30,4.025974025974026,9.3808
31,4.1558441558441555,9.6098
32,4.285714285714286,9.8326
33,4.415584415584416,9.653
34,4.545454545454545,9.5728
35,4.675324675324675,9.3411
36,4.805194805194805,9.5495
37,4.935064935064935,9.5366
38,5.064935064935065,9.8454
39,5.194805194805195,9.7987
40,5.324675324675325,9.6468
41,5.454545454545454,9.7551
42,5.584415584415584,9.6433
43,5.714285714285714,9.7368
44,5.844155844155844,9.8474
45,5.974025974025974,9.7099
46,6.103896103896104,9.6632
47,6.233766233766234,9.3435
48,6.363636363636363,9.6503
49,6.4935064935064934,9.8773
50,6.623376623376624,9.6523
51,6.753246753246753,9.5549
52,6.883116883116883,9.6713
53,7.012987012987013,9.7749
54,7.142857142857142,9.1032
55,7.2727272727272725,9.7893
56,7.402597402597403,9.6417
57,7.532467532467532,9.6764
58,7.662337662337662,9.5456
59,7.792207792207792,9.8248
60,7.922077922077922,9.4416
61,8.051948051948052,9.7956
62,8.181818181818182,9.1776
63,8.311688311688311,9.9973
64,8.441558441558442,10.2044
65,8.571428571428571,10.0565
66,8.7012987012987,9.3793
67,8.831168831168831,9.5938
68,8.96103896103896,9.5043
69,9.09090909090909,10.014
70,9.220779220779221,9.4455
71,9.35064935064935,9.3002
72,9.48051948051948,9.9245
73,9.61038961038961,9.6079
74,9.74025974025974,9.6558
75,9.87012987012987,9.2862
76,10.0,9.81
77,10.12987012987013,9.6129
78,10.25974025974026,9.2083
79,10.38961038961039,9.5343
80,10.519480519480519,9.2103
81,10.64935064935065,9.7356
82,10.779220779220779,9.4661
83,10.909090909090908,10.0892
84,11.03896103896104,9.7738
85,11.168831168831169,9.4112
86,11.298701298701298,9.5635
87,11.428571428571429,9.5432
88,11.558441558441558,9.3894
89,11.688311688311687,10.324
90,11.818181818181818,9.4677
91,11.948051948051948,9.5308
92,12.077922077922077,9.3279
93,12.207792207792208,9.5884
94,12.337662337662337,9.3933
95,12.467532467532468,9.7387
96,12.597402597402597,9.5409
97,12.727272727272727,9.641
98,12.857142857142858,9.7231
99,12.987012987012987,9.9233
100,13.116883116883116,9.3563
101,13.246753246753247,9.6071
102,13.376623376623376,9.3411
103,13.506493506493506,9.4868
104,13.636363636363637,10.0226
105,13.766233766233766,9.7578
106,13.896103896103895,9.7298
107,14.025974025974026,9.3197
108,14.155844155844155,9.6713
109,14.285714285714285,9.4533
110,14.415584415584416,9.4918
111,14.545454545454545,9.6495
112,14.675324675324674,9.6651
113,14.805194805194805,9.4237
114,14.935064935064934,9.241
115,15.064935064935064,9.6063
116,15.194805194805195,9.5354
117,15.324675324675324,9.6756
118,15.454545454545455,9.715
119,15.584415584415584,9.523
120,15.714285714285714,9.4755
121,15.844155844155845,9.037
122,15.974025974025974,9.6157
123,16.103896103896105,9.7765
124,16.233766233766232,9.5129
125,16.363636363636363,9.2664
126,16.493506493506494,9.368
127,16.623376623376622,9.5378
128,16.753246753246753,9.8185
129,16.883116883116884,9.4537
130,17.01298701298701,9.6332
131,17.142857142857142,9.5931
132,17.272727272727273,9.391
133,17.4025974025974,9.3847
134,17.532467532467532,9.5479
135,17.662337662337663,9.5183
136,17.79220779220779,9.3879
137,17.92207792207792,9.5783
138,18.051948051948052,9.5296
139,18.18181818181818,9.398
140,18.31168831168831,9.4319
141,18.441558441558442,9.7617
142,18.57142857142857,9.2905
143,18.7012987012987,9.5744
144,18.83116883116883,9.3528
145,18.96103896103896,9.7535
146,19.09090909090909,9.5444
147,19.22077922077922,9.264
148,19.35064935064935,9.7905
149,19.48051948051948,9.5008
150,19.61038961038961,9.8255
151,19.74025974025974,9.301
152,19.87012987012987,9.5588
153,20.0,9.509
154,20.12987012987013,9.7453
155,20.25974025974026,9.8139
156,20.38961038961039,9.7278
157,20.51948051948052,9.8808
158,20.649350649350648,9.9167
159,20.77922077922078,9.736
160,20.90909090909091,9.8719
161,21.038961038961038,9.4521
162,21.16883116883117,10.0748
163,21.2987012987013,10.0117
164,21.428571428571427,9.3988
165,21.558441558441558,9.7469
166,21.68831168831169,9.7975
167,21.818181818181817,9.5627
168,21.948051948051948,9.2823
169,22.07792207792208,9.6121
170,22.207792207792206,9.5269
171,22.337662337662337,9.4389
172,22.467532467532468,9.4871
173,22.597402597402596,9.4023
174,22.727272727272727,9.5413
175,22.857142857142858,9.5962
176,22.987012987012985,9.896
177,23.116883116883116,9.6094
178,23.246753246753247,9.1978
179,23.376623376623375,9.2804
180,23.506493506493506,9.4428
181,23.636363636363637,9.5533
182,23.766233766233764,9.6593
183,23.896103896103895,9.9194
184,24.025974025974026,9.7181
185,24.155844155844154,9.8859
186,24.285714285714285,9.609
187,24.415584415584416,9.7761
188,24.545454545454543,9.4953
189,24.675324675324674,9.3805
190,24.805194805194805,9.1437
191,24.935064935064936,9.5315
192,25.064935064935064,9.4782
193,25.194805194805195,9.7095
194,25.324675324675326,9.5713
195,25.454545454545453,9.6904
196,25.584415584415584,9.6121
